"Plot Title: Maninjau-UPT"
"#","Date Time, GMT+07:00","Pressure, mbar (LGR S/N: 10099914, SEN S/N: 1037130)","Temp, °C (LGR S/N: 10099914, SEN S/N: 10084152)","RH, % (LGR S/N: 10099914, SEN S/N: 10084152)","Wind Speed, m/s (LGR S/N: 10099914, SEN S/N: 10090367)","Gust Speed, m/s (LGR S/N: 10099914, SEN S/N: 10090367)","Solar Radiation, W/m² (LGR S/N: 10099914, SEN S/N: 10091900)","Wind Direction, ø (LGR S/N: 10099914, SEN S/N: 10093270)"
1,03/19/18 09:55:00 AM,957.750,28.493,82.300,0.76,2.01,645.6,120.7
2,03/19/18 10:00:00 AM,957.750,28.196,82.500,1.01,2.52,660.6,112.3
3,03/19/18 10:05:00 AM,957.750,28.518,82.200,0.25,1.76,504.4,109.5
4,03/19/18 10:10:00 AM,957.850,28.816,81.700,0.25,1.51,703.1,110.9
5,03/19/18 10:15:00 AM,957.850,29.190,80.600,1.01,2.01,750.6,115.1
6,03/19/18 10:20:00 AM,957.850,28.990,80.800,1.01,2.27,754.4,120.7
7,03/19/18 10:25:00 AM,957.750,29.265,80.600,1.01,2.52,763.1,113.7
8,03/19/18 10:30:00 AM,957.950,29.439,80.500,0.76,2.27,798.1,117.9
9,03/19/18 10:35:00 AM,957.950,29.065,81.500,1.01,1.76,773.1,120.7
10,03/19/18 10:40:00 AM,957.750,28.742,81.300,1.51,2.77,833.1,109.5
11,03/19/18 10:45:00 AM,957.750,28.841,82.400,1.76,3.02,783.1,103.9
12,03/19/18 10:50:00 AM,957.650,29.389,80.600,1.76,2.77,829.4,112.3
13,03/19/18 10:55:00 AM,957.650,29.840,79.100,1.51,2.52,811.9,112.3
14,03/19/18 11:00:00 AM,957.650,30.167,78.900,1.51,3.02,820.6,109.5
15,03/19/18 11:05:00 AM,957.650,30.091,78.300,0.76,3.02,816.9,129.2
16,03/19/18 11:10:00 AM,957.550,30.469,77.400,2.01,3.27,850.6,109.5
17,03/19/18 11:15:00 AM,957.250,30.621,78.400,1.76,3.78,853.1,106.7
18,03/19/18 11:20:00 AM,957.250,31.103,77.300,1.76,3.02,876.9,109.5
19,03/19/18 11:25:00 AM,957.350,31.306,74.900,0.50,2.27,870.6,99.7
20,03/19/18 11:30:00 AM,957.250,31.103,71.900,2.27,6.30,886.9,81.4
21,03/19/18 11:35:00 AM,957.050,31.077,73.400,1.76,3.02,895.6,96.9
22,03/19/18 11:40:00 AM,957.050,30.874,74.200,1.76,3.78,873.1,96.9
23,03/19/18 11:45:00 AM,957.050,31.714,71.300,1.51,3.27,933.1,77.2
24,03/19/18 11:50:00 AM,956.850,31.357,67.600,2.27,4.78,364.4,70.2
25,03/19/18 11:55:00 AM,956.850,31.255,69.100,2.52,4.78,729.4,80.0
26,03/19/18 12:00:00 PM,956.850,30.394,72.800,2.27,4.28,243.1,102.5
27,03/19/18 12:05:00 PM,956.750,29.464,75.400,1.51,3.02,181.9,112.3
28,03/19/18 12:10:00 PM,956.750,29.315,76.600,1.01,2.52,200.6,108.1
29,03/19/18 12:15:00 PM,956.750,29.365,76.300,1.76,3.27,615.6,98.3
30,03/19/18 12:20:00 PM,956.450,30.369,76.200,1.51,2.77,683.1,103.9
31,03/19/18 12:25:00 PM,956.450,30.824,74.100,1.76,3.02,829.4,96.9
32,03/19/18 12:30:00 PM,956.450,31.331,74.400,1.51,3.02,506.9,109.5
33,03/19/18 12:35:00 PM,956.350,31.561,73.000,1.76,3.27,349.4,103.9
34,03/19/18 12:40:00 PM,956.250,31.001,72.300,1.51,2.77,1024.4,108.1
35,03/19/18 12:45:00 PM,956.250,31.714,71.900,1.26,2.27,1006.9,113.7
36,03/19/18 12:50:00 PM,956.150,30.900,71.300,1.76,3.02,1094.4,122.1
37,03/19/18 12:55:00 PM,956.050,30.268,71.700,2.27,3.27,455.6,122.1
38,03/19/18 01:00:00 PM,956.050,31.357,71.200,1.51,2.52,988.1,123.5
39,03/19/18 01:05:00 PM,955.950,30.900,69.800,1.26,2.27,255.6,124.9
40,03/19/18 01:10:00 PM,955.950,30.444,71.300,0.50,2.27,256.9,126.4
41,03/19/18 01:15:00 PM,955.850,29.715,73.600,2.01,3.53,241.9,129.2
42,03/19/18 01:20:00 PM,955.850,29.365,75.700,2.77,4.28,265.6,126.4
43,03/19/18 01:25:00 PM,955.650,29.615,76.700,2.27,4.53,296.9,127.8
44,03/19/18 01:30:00 PM,955.450,29.389,78.600,2.52,4.28,279.4,120.7
45,03/19/18 01:35:00 PM,955.550,29.265,80.000,2.52,4.03,265.6,123.5
46,03/19/18 01:40:00 PM,955.250,29.715,80.700,2.52,4.03,980.6,123.5
47,03/19/18 01:45:00 PM,955.150,30.091,79.700,3.53,5.54,964.4,123.5
48,03/19/18 01:50:00 PM,955.250,30.192,79.200,3.53,5.04,1000.6,123.5
49,03/19/18 01:55:00 PM,955.250,29.215,78.100,3.78,6.30,363.1,122.1
50,03/19/18 02:00:00 PM,955.250,28.097,80.200,4.53,7.30,253.1,120.7
51,03/19/18 02:05:00 PM,955.050,27.112,83.500,5.79,8.81,188.1,123.5
