,Date,smoothed_SD
1,1/15/1987,NA
2,2/15/1987,NA
3,3/15/1987,NA
4,4/15/1987,NA
5,5/15/1987,NA
6,6/15/1987,NA
7,7/15/1987,NA
8,8/15/1987,NA
9,9/15/1987,NA
10,10/15/1987,NA
11,11/15/1987,NA
12,12/15/1987,NA
13,1/15/1988,2.003173103
14,2/15/1988,2.018039099
15,3/15/1988,2.03167533
16,4/15/1988,2.045999688
17,5/15/1988,2.059649776
18,6/15/1988,2.073573664
19,7/15/1988,2.086909475
20,8/15/1988,2.10058433
21,9/15/1988,2.114190662
22,10/15/1988,2.127329676
23,11/15/1988,2.140915371
24,12/15/1988,2.154107689
25,1/15/1989,2.167824184
26,2/15/1989,2.181665186
27,3/15/1989,2.194306285
28,4/15/1989,2.208492305
29,5/15/1989,2.222446971
30,6/15/1989,2.237138658
31,7/15/1989,2.251655956
32,8/15/1989,2.267004748
33,9/15/1989,2.282745514
34,10/15/1989,2.29836361
35,11/15/1989,2.314802617
36,12/15/1989,2.330967802
37,1/15/1990,2.347911097
38,2/15/1990,2.365071415
39,3/15/1990,2.380735589
40,4/15/1990,2.398235866
41,5/15/1990,2.415305398
42,6/15/1990,2.433056406
43,7/15/1990,2.450319018
44,8/15/1990,2.468218327
45,9/15/1990,2.486153748
46,10/15/1990,2.503520074
47,11/15/1990,2.521449311
48,12/15/1990,2.538760089
49,1/15/1991,2.556580712
50,2/15/1991,2.574306883
51,3/15/1991,2.590214431
52,4/15/1991,2.607687753
53,5/15/1991,2.624434635
54,6/15/1991,2.641545786
55,7/15/1991,2.657892617
56,8/15/1991,2.674539167
57,9/15/1991,2.690910354
58,10/15/1991,2.706466339
59,11/15/1991,2.72221844
60,12/15/1991,2.737125746
61,1/15/1992,2.75215633
62,2/15/1992,2.766780988
63,3/15/1992,2.780071197
64,4/15/1992,2.793835039
65,5/15/1992,2.806694723
66,6/15/1992,2.819481813
67,7/15/1992,2.83134669
68,8/15/1992,2.843222046
69,9/15/1992,2.856040138
70,10/15/1992,2.869483105
71,11/15/1992,2.884268031
72,12/15/1992,2.899269596
73,1/15/1993,2.915308789
74,2/15/1993,2.93171232
75,3/15/1993,2.946688492
76,4/15/1993,2.963277009
77,5/15/1993,2.979170487
78,6/15/1993,2.995249376
79,7/15/1993,3.010304874
80,8/15/1993,3.025161567
81,9/15/1993,3.039124067
82,10/15/1993,3.051611436
83,11/15/1993,3.063277049
84,12/15/1993,3.073196832
85,1/15/1994,3.081852991
86,2/15/1994,3.088706677
87,3/15/1994,3.093194765
88,4/15/1994,3.096109511
89,5/15/1994,3.096707215
90,6/15/1994,3.096248937
91,7/15/1994,3.096885862
92,8/15/1994,3.098362868
93,9/15/1994,3.100316278
94,10/15/1994,3.102321437
95,11/15/1994,3.104161891
96,12/15/1994,3.105383749
97,1/15/1995,3.105718334
98,2/15/1995,3.104753835
99,3/15/1995,3.102466855
100,4/15/1995,3.098036036
101,5/15/1995,3.091520516
102,6/15/1995,3.082135795
103,7/15/1995,3.070001771
104,8/15/1995,3.053844591
105,9/15/1995,3.034344302
106,10/15/1995,3.012646503
107,11/15/1995,2.987673093
108,12/15/1995,2.961387919
109,1/15/1996,2.932407054
110,2/15/1996,2.901951301
111,3/15/1996,2.872460523
112,4/15/1996,2.840225468
